t,Low (O:C≤0.3),Medium (0.3–0.6),High (0.6–1.0),Very high (O:C>1.0)
2025-08-11 14:56:53,58.787960487976335,335.16303991655514,203.45307261062194,199.96536495887528
2025-08-11 14:58:07,59.995399768366006,383.50732766477734,226.82154303596874,205.71894176550256
2025-08-11 14:59:25,56.76450014829439,315.641607561407,192.94285912688682,201.11934933690662
2025-08-11 15:00:37,59.17352593413113,342.422270324323,212.10859232194912,213.78002000809983
2025-08-11 15:01:47,54.760529231098985,309.685009593495,210.24971384375428,204.70251621645167
2025-08-11 15:03:01,55.25889337697946,295.0042542507594,208.38503644488412,201.69479699224178
2025-08-11 15:04:13,53.6963497837144,294.5619193053409,198.2316777389106,201.31046180183677
2025-08-11 15:05:27,55.48643203172162,295.99331237362907,203.1949835456205,202.61073209229426
2025-08-11 15:06:39,55.74722505135816,282.95855826290244,194.6985615170258,205.42964063217823
2025-08-11 15:07:55,56.45114265964205,356.20906515428226,227.26338906331375,211.13327451569728
2025-08-11 15:09:07,54.3528643009533,287.0981925796963,186.51912426621485,202.00551942394497
2025-08-11 15:10:19,54.66188792579647,295.3686785151377,201.42151760305734,208.92184569387317
2025-08-11 15:11:35,57.57535202055173,285.90452814353296,201.48238327113103,208.26745688317163
2025-08-11 15:12:49,56.71206356112217,291.5515860684169,202.41924364135625,219.40995704663965
2025-08-11 15:14:01,55.6443477351774,282.58735544084703,187.2933710304573,211.50833145950435
2025-08-11 15:15:13,54.56601826735013,307.1629149499783,204.3854124599186,209.75884265757563
2025-08-11 15:16:25,54.48173060634423,261.10247961199593,179.94339230145562,214.30074484591512
2025-08-11 15:17:35,54.52342039740079,280.7038570591257,192.23658459711578,211.40756592694754
2025-08-11 15:18:47,57.72699122962119,294.49815698932497,201.4023999263015,213.84894735520737
2025-08-11 15:19:59,52.08032657309281,279.3679836492419,198.2666790644125,201.4926605849872
2025-08-11 15:21:13,60.19181676236673,326.6188920133279,202.329186010286,222.21195206632268
2025-08-11 15:22:26,59.26388647379981,354.0083155967369,219.8922777669574,215.64867677789888
2025-08-11 15:23:40,55.33959077709554,333.4785296446076,223.28912328588186,206.92287355589602
2025-08-11 15:24:56,53.9902977485659,326.04087022635844,218.25595712790965,204.46797141645527
2025-08-11 15:26:12,51.560352282705125,297.05914949976824,195.92780903728024,196.9089258582995
2025-08-11 15:27:24,50.687479014962506,272.6559790128189,173.60487788202147,195.7897382205373
2025-08-11 15:28:36,48.90452308732423,232.80076571736774,170.94945837695022,197.69734837714245
2025-08-11 15:29:48,49.82355903420946,236.68558319873034,174.37182058768494,199.95896115046673
2025-08-11 15:31:02,51.18539061064675,229.63205419582755,172.7069632722797,210.13958207824683
2025-08-11 15:32:16,51.98258308531589,225.38180162116373,175.03096206605477,214.5016463455929
2025-08-11 15:33:28,48.47407464030249,207.17170683841945,167.51326927872748,195.48043887134077
2025-08-11 15:34:40,49.691627320665006,205.38485662252182,178.34540305187045,198.29955619139741
2025-08-11 15:35:54,47.23735500670814,229.36350869285278,186.43403226959055,199.4113640149964
2025-08-11 15:37:08,48.31018451158897,199.69567282675936,169.23545567997846,192.9232575736603
2025-08-11 15:38:22,45.69575997321505,194.28422001234088,152.0192439877335,200.23657519570708
2025-08-11 15:39:34,44.945945624929855,183.6732920552395,145.05027021254102,192.8216950473368
2025-08-11 15:40:44,47.161004796879276,213.6845200925942,169.2062267557694,202.94165850371382
2025-08-11 15:41:54,50.072166361335206,184.17165160511152,165.6275719518197,198.78076929059935
2025-08-11 15:43:10,46.913924899353,182.20267716583362,162.37529296988058,201.73812830192423
2025-08-11 15:44:20,50.10390301255884,179.66078087153883,156.07110388514275,197.42483606339363
2025-08-11 15:45:32,49.36141336613194,184.77805983147624,156.61572838504085,204.4726449339179
2025-08-11 15:46:46,49.94798663802766,191.1658533330098,158.93655644746804,199.4220913301313
2025-08-11 15:48:00,52.93748699821917,205.29589303488217,167.12220963442365,204.26349321111323
2025-08-11 15:49:10,48.77203629705021,205.32157119563288,157.14233700148532,209.98274747861646
2025-08-11 15:50:26,50.287551452368575,216.67968040458894,155.72321198877387,206.82196787735754
2025-08-11 15:51:36,52.713423081382885,198.2077630426594,156.50254514281988,205.32554952748498
2025-08-11 15:52:50,49.32760274978414,169.7909866624025,151.2734445466984,196.4071864821792
2025-08-11 15:54:04,46.42479073880756,186.6655575486144,159.27409279432035,204.13725830987315
2025-08-11 15:55:16,52.30654416097158,238.1878891504756,188.5580668770944,222.20475315537118
2025-08-11 15:56:28,49.03530559645949,169.19736142357013,152.15693181358392,192.59561097056186
2025-08-11 15:57:40,51.08164952275197,186.01603430208885,167.0500450436349,208.7318813084227
2025-08-11 15:58:54,48.99501408197925,188.75526045334232,161.52387642097716,209.2077493593867
2025-08-11 16:00:08,43.287672369841324,158.0667537646524,140.2468155004356,189.3213978025342
